TIMESTAMP,AGENTNAME,ORDERBOOK,INSTRUMENT_NAME,COUNTRY,SECTOR_LONGNAME,SUBSECTOR_LONGNAME,INDUSTRY_LONGNAME,HOLDING_RATIO,HOLDING,OB_HOLDING,INVESTS,LASTFIXEDPRICE,ESG,E,S,G,ESG_RATIO,E_RATIO,S_RATIO,G_RATIO
2019-04-07 15:29:41.358,mm,FR0000120628,AXA,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,-0.007829,5595980,-43812,-14604,3,65.5,60,66.83,69.67,-0.5127995,-0.46974,-0.52321207,-0.54544643
2019-04-07 15:27:09.392,mm,FR0000051807,TELEPERFORMANCE,FR,CONSUMER DISCRETIONARY,MEDIA,ADVERTIING AGENCIES,0.003026,5595980,16939,1303,13,56.72,54,52.83,63.33,0.17163472,0.163404,0.15986358,0.19163658
2019-04-07 15:26:54.634,mm,FR0012435121,ELIS,FR,CONSUMER DISCRETIONARY,CONSUMER SERVICES,CONSUMER RENTAL & LEASE SERVICES,-0.026699,5595980,-149410,-14941,10,57.5,59,49.17,64.33,-1.5351925,-1.575241,-1.31278983,-1.71754667
2019-04-07 15:29:44.178,mm,FR0000121485,KERING,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.057259,5595980,320424,26702,12,59.94,59.33,61.17,59.33,3.43210446,3.39717647,3.50253303,3.39717647
2019-04-07 15:29:29.984,mm,FR0000051732,ATOS,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.033759,5595980,188916,14532,13,60.78,55.67,63.67,63,2.05187202,1.87936353,2.14943553,2.126817
2019-04-07 15:28:08.674,mm,FR0010451203,REXEL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,CONSUMER ELECTRONICS,0.057313,5595980,320727,29157,11,60.94,57,60.17,65.67,3.49265422,3.266841,3.44852321,3.76374471
2019-04-07 15:28:41.762,mm,FR0000121204,WENDEL,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,DIVERSIFIED MANUFACTURING,-0.025693,5595980,-143780,-14378,10,49.61,49.67,51.17,48,-1.27462973,-1.27617131,-1.31471081,-1.233264
2019-04-07 15:29:52.638,mm,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.099592,5595980,557320,27866,20,62.39,67.33,62.5,57.33,6.21354488,6.70552936,6.2245,5.70960936
2019-04-07 15:30:01.944,mm,FR0010242511,EDF,FR,UTILITIES,UTILITIES,ELECTRICAL UTILITIES,0.005097,5595980,28524,2377,12,60.17,66.67,61.5,52.33,0.30668649,0.33981699,0.3134655,0.26672601
2019-04-07 15:29:32.804,mm,FR0000130809,SOCIETE GENERALE,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,0.052412,5595980,293300,14665,20,61.22,59,64.33,60.33,3.20866264,3.092308,3.37166396,3.16201596
2019-04-07 15:29:50.288,mm,FR0000121220,SODEXO,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENVIRONMENT MAINTENANCE & SECURITY,0.056004,5595980,313400,15670,20,64.67,64.33,66,63.67,3.62177868,3.60273732,3.696264,3.56577468
2019-04-07 15:28:20.706,mm,FR0010208488,ENGIE,FR,UTILITIES,UTILITIES,MISCELLANEOUS UTILITIES,-0.031642,5595980,-177070,-17707,10,62.17,59.33,64.17,63,-1.96718314,-1.87731986,-2.03046714,-1.993446
2019-04-07 15:28:44.864,mm,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.004304,5595980,24089,1853,13,65.11,66,61.67,67.67,0.28023344,0.284064,0.26542768,0.29125168
2019-04-07 15:29:47.468,mm,FR0000121964,KLEPIERRE,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,RETAIL REIT,0.001153,5595980,6456,2152,3,61.94,63.33,59.17,63.33,0.07141682,0.07301949,0.06822301,0.07301949
2019-04-07 15:29:45.118,mm,FR0000130403,CHRISTIAN DIOR,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.002026,5595980,11340,1134,10,57.22,58,61,52.67,0.11592772,0.117508,0.123586,0.10670942
2019-04-07 15:29:57.056,mm,FR0000130395,REMY COINTREAU,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.001186,5595980,6640,332,20,56.33,56.33,56.33,56.33,0.06680738,0.06680738,0.06680738,0.06680738
2019-04-07 15:28:09.520,mm,FR0000125007,SAINT GOBAIN,FR,MATERIALS & PROCESSING,BUILDING MATERIALS,BUILDING MATERIALS,-0.007965,5595980,-44574,-14858,3,61.89,62,60,63.67,-0.49295385,-0.49383,-0.4779,-0.50713155
2019-04-07 15:29:26.130,mm,FR0000039299,BOLLORE,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,MISCELLANEOUS TRANSPORTATION,0.000811,5595980,4543,413,11,56.94,59.67,57.83,53.33,0.04617834,0.04839237,0.04690013,0.04325063
2019-04-07 15:29:27.540,mm,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,-0.023708,5595980,-132675,-44225,3,58.56,55,54.33,66.33,-1.38834048,-1.30394,-1.28805564,-1.57255164
2019-04-07 15:29:43.426,mm,FR0000071946,ALTEN,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.104267,5595980,583480,29174,20,61.11,64.33,63,56,6.37175637,6.70749611,6.568821,5.838952
2019-04-07 15:27:56.642,mm,FR0000120404,ACCOR,FR,CONSUMER DISCRETIONARY,LEISURE,HOTELS & MOTELS,0.102269,5595980,572300,28615,20,62.33,61.67,60.33,65,6.37442677,6.30692923,6.16988877,6.647485
2019-04-07 15:29:40.512,mm,FR0000120073,AIR LIQUIDE,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,SPECIALTY CHEMICALS,0.057930,5595980,324180,16209,20,61.78,59.67,62,63.67,3.5789154,3.4566831,3.59166,3.6884031
2019-04-07 15:29:49.818,mm,FR0000121014,LVMH,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.028215,5595980,157896,13158,12,58.83,61.67,60.5,54.33,1.65988845,1.74001905,1.7070075,1.53292095
2019-04-07 15:29:54.988,mm,FR0000120172,CARREFOUR,FR,CONSUMER STAPLES,PERSONAL CARE DRUGS & GROCERY,DRUG & GROCERY CHAINS,0.062548,5595980,350020,17501,20,63.83,62.67,64.17,64.67,3.99243884,3.91988316,4.01370516,4.04497916
2019-04-07 15:29:11.748,mm,FR0000120271,TOTALENERGIES,FR,ENERGY,NON-RENEWABLE ENERGY,INTEGRATED OIL,-0.003338,5595980,-18680,-934,20,63.28,64,64.83,61,-0.21122864,-0.213632,-0.21640254,-0.203618
2019-04-07 15:26:30.288,mm,FR0000121329,THALES,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.002128,5595980,11913,1083,11,61.89,64.67,62,59,0.13170192,0.13761776,0.131936,0.125552
2019-04-07 15:29:55.834,mm,FR0000130452,EIFFAGE,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,CONSTRUCTION,0.023150,5595980,129547,11777,11,57.83,55.67,60.17,57.67,1.3387645,1.2887605,1.3929355,1.3350605
2019-04-07 15:28:51.914,mm,FR0000120321,L'OREAL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,COSMETICS,-0.029862,5595980,-167112,-15192,11,69.61,70.67,69.5,68.67,-2.07869382,-2.11034754,-2.075409,-2.05062354
2019-04-07 15:29:37.786,mm,FR0000184798,ORPEA,FR,HEALTH CARE SERVICES,HEALTH CARE SERVICES,HEALTH CARE FACILITIES,-0.052655,5595980,-294660,-29466,10,52.11,54.33,48.67,53.33,-2.74385205,-2.86074615,-2.56271885,-2.80809115
2019-04-07 15:27:46.584,mm,FR0010340141,ADP,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,MISCELLANEOUS TRANSPORTATION,0.024714,5595980,138300,13830,10,63.5,65.67,63.83,61,1.569339,1.62296838,1.57749462,1.507554
2019-04-07 15:29:21.618,mm,FR0000052292,HERMES INTL,FR,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,0.025377,5595980,142010,12910,11,53.67,53,52,56,1.36198359,1.344981,1.319604,1.421112
2019-04-07 15:29:09.398,mm,FR0000133308,ORANGE,FR,UTILITIES,UTILITIES,TELECOMMUNICATION UTILITIES,0.041407,5595980,231714,16551,14,60.56,55,67.67,59,2.50760792,2.277385,2.80201169,2.443013
2019-04-07 15:28:27.192,mm,FR0000045072,CREDIT AGRICOLE,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,0.105107,5595980,588180,29409,20,59.72,55.67,66.17,57.33,6.27699004,5.85130669,6.95493019,6.02578431
2019-04-07 15:28:31.328,mm,FR0000120693,PERNOD RICARD,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.044646,5595980,249840,12492,20,64.22,64,63,65.67,2.86716612,2.857344,2.812698,2.93190282
2019-04-07 15:29:36.188,mm,FR0011981968,WORLDLINE,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,-0.023386,5595980,-130869,-43623,3,65.28,71,61.83,63,-1.52663808,-1.660406,-1.44595638,-1.473318
2019-04-07 15:27:28.912,mm,FR0000073272,SAFRAN,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.029978,5595980,167761,15251,11,58.22,59.33,60,55.33,1.74531916,1.77859474,1.79868,1.65868274
2019-04-07 15:29:53.390,mm,FR0010908533,EDENRED,FR,CONSUMER DISCRETIONARY,LEISURE,HOTELS & MOTELS,0.039600,5595980,221606,15829,14,57.94,59,56.5,58.33,2.294424,2.3364,2.2374,2.309868
2019-04-07 15:28:48.906,mm,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,0.000375,5595980,2100,700,3,65.17,64.33,64.83,66.33,0.02443875,0.02412375,0.02431125,0.02487375
2019-04-07 15:29:22.276,mm,FR0010411983,SCOR SE,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,0.028062,5595980,157036,14276,11,55.11,50.33,58,57,1.54649682,1.41236046,1.627596,1.599534
2019-04-07 15:29:38.914,mm,FR0000121121,EURAZEO,FR,FINANCIAL SERVICES,INVESTMENT BANKING & BROKERAGE,ASSET MANAGEMENT & CUSTODIAN,0.009748,5595980,54552,4546,12,60.06,63,55.17,62,0.58546488,0.614124,0.53779716,0.604376
2019-04-07 15:26:35.834,mm,FR0000120503,BOUYGUES,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,CONSTRUCTION,0.065607,5595980,367140,18357,20,60.5,56.33,63.5,61.67,3.9692235,3.69564231,4.1660445,4.04598369
2019-04-07 15:29:19.080,mm,FR0010040865,GECINA,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,OFFICE REIT,0.024942,5595980,139579,12689,11,65.44,67.33,61.33,67.67,1.63220448,1.67934486,1.52969286,1.68782514
2019-04-07 15:29:51.040,mm,FR0000121147,FAURECIA,FR,CONSUMER DISCRETIONARY,AUTO MOBILES,AUTO PARTS,-0.028467,5595980,-159302,-14482,11,52.89,50.67,56.67,51.33,-1.50561963,-1.44242289,-1.61322489,-1.46121111
2019-04-07 15:29:56.492,mm,FR0000050809,SOPRA STERIA GROUP,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,-0.016158,5595980,-90423,-30141,3,57.78,65.67,51.33,56.33,-0.93360924,-1.06109586,-0.82939014,-0.91018014
2019-04-07 15:28:22.398,mm,FR0000124141,VEOLIA ENVIRON.,FR,UTILITIES,UTILITIES,MISCELLANEOUS UTILITIES,-0.004042,5595980,-22620,-1885,12,59.17,58.33,59.83,59.33,-0.23916514,-0.23576986,-0.24183286,-0.23981186
2019-04-07 15:29:18.234,mm,FR0000127771,VIVENDI SE,FR,CONSUMER DISCRETIONARY,MEDIA,RADIO & TELEVISION BROADCASTERS,-0.000437,5595980,-2450,-175,14,57.17,52.67,62.17,56.67,-0.02498329,-0.02301679,-0.02716829,-0.02476479
2019-04-07 15:26:03.090,mm,FR0000121709,S.E.B.,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,HOUSEHOLD EQUIPMENT,0.044159,5595980,247114,17651,14,61.61,59,62.83,63,2.72063599,2.605381,2.77450997,2.782017
2019-04-07 15:27:02.404,mm,FR0000120578,SANOFI,FR,HEALTH CARE SERVICES,PHARMACEUTICALS,PHARMACEUTICALS,-0.024910,5595980,-139401,-15489,9,62.06,60.67,65.17,60.33,-1.5459146,-1.5112897,-1.6233847,-1.5028203
2019-04-07 15:30:04.576,mm,FR0000125486,VINCI,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,CONSTRUCTION,0.005580,5595980,31229,2839,11,62.56,62.67,61.67,63.33,0.3490848,0.3496986,0.3441186,0.3533814
2019-04-07 15:27:19.700,mm,FR0000054470,UBISOFT ENTERTAIN,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,ELECTRONIC ENTERTAINMENT,0.003677,5595980,20579,1583,13,56,57.67,55.67,54.67,0.205912,0.21205259,0.20469859,0.20102159
2019-04-07 15:29:37.222,mm,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,-0.037681,5595980,-210864,-17572,12,62.78,61.33,61,66,-2.36561318,-2.31097573,-2.298541,-2.486946
2019-04-07 15:29:42.862,mm,FR0000125338,CAPGEMINI,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.029907,5595980,167362,12874,13,60.83,58.33,61.83,62.33,1.81924281,1.74447531,1.84914981,1.86410331
2019-04-07 15:29:34.308,mm,FR0010259150,IPSEN,FR,HEALTH CARE SERVICES,PHARMACEUTICALS,PHARMACEUTICALS,0.001812,5595980,10143,1127,9,58.28,55,57.83,62,0.10560336,0.09966,0.10478796,0.112344
2019-04-07 15:29:28.668,mm,FR0006174348,BUREAU VERITAS,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,BACK OFFICE HR & CONSULTANT,0.031877,5595980,178387,16217,11,55.89,54.33,53,60.33,1.78160553,1.73187741,1.689481,1.92313941
2019-04-07 15:29:52.168,mm,FR0000130577,PUBLICIS GROUPE SA,FR,CONSUMER DISCRETIONARY,MEDIA,ADVERTIING AGENCIES,-0.016679,5595980,-93336,-31112,3,56.22,56.33,56.33,56,-0.93769338,-0.93952807,-0.93952807,-0.934024
2019-04-07 15:29:54.048,mm,FR0000131906,RENAULT,FR,CONSUMER DISCRETIONARY,AUTO MOBILES,AUTO MOBILES,0.028127,5595980,157399,14309,11,60,63.67,62.33,54,1.68762,1.79084609,1.75315591,1.518858
2019-04-07 15:26:31.760,mm,FR0000121972,SCHNEIDER ELECTRIC,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,-0.011676,5595980,-65340,-3267,20,64.72,63.33,66.5,64.33,-0.75567072,-0.73944108,-0.776454,-0.75111708
2019-04-07 15:23:05.024,mm,FR0010533075,GETLINK SE,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,RAILROADS,0.032223,5595980,180323,16393,11,58.83,57.33,59.17,60,1.89567909,1.84734459,1.90663491,1.93338
2019-04-07 15:29:13.534,mm,FR0000131104,BNP PARIBAS ACT.A,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,0.055818,5595980,312360,15618,20,63.5,61,65.83,63.67,3.544443,3.404898,3.67449894,3.55393206
2019-04-07 15:29:59.312,mm,FR0000121667,ESSILORLUXOTTICA,FR,HEALTH CARE SERVICES,MEDICAL EQUIPMENT & SERVICES,MEDICAL & DENTAL INSTRUMENTS,-0.054380,5595980,-304310,-30431,10,61.17,57.67,62.17,63.67,-3.3264246,-3.1360946,-3.3808046,-3.4623746
2019-04-05 07:03:56.128,Denise-01,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.341745,2417,826,59,14,62.39,67.33,62.5,57.33,21.32147055,23.00969085,21.3590625,19.59224085
2019-04-05 07:06:59.646,Denise-01,FR0000073272,SAFRAN,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.640049,2417,1547,119,13,58.22,59.33,60,55.33,37.26365278,37.97410717,38.40294,35.41391117
2019-04-05 07:09:03.914,Denise-01,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.018204,2417,44,4,11,58.56,55,54.33,66.33,1.06602624,1.00122,0.98902332,1.20747132
2019-04-05 07:02:56.156,Gabriel-01,FR0000133308,ORANGE,FR,UTILITIES,UTILITIES,TELECOMMUNICATION UTILITIES,0.423004,2130,901,53,17,60.56,55,67.67,59,25.61712224,23.26522,28.62468068,24.957236
2019-04-05 07:46:30.786,Gabriel-01,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,0.518309,2130,1104,69,16,65.17,64.33,64.83,66.33,33.77819753,33.34281797,33.60197247,34.37943597
2019-04-05 07:42:48.540,Gabriel-01,FR0000120628,AXA,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,0.058685,2130,125,25,5,65.5,60,66.83,69.67,3.8438675,3.5211,3.92191855,4.08858395
2019-04-05 15:04:43.600,Laurie-01,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,0.000000,2040,0,0,6,62.78,61.33,61,66,0,0,0,0
2019-04-05 15:26:08.824,Laurie-01,FR0010208488,ENGIE,FR,UTILITIES,UTILITIES,MISCELLANEOUS UTILITIES,1.000000,2040,2040,204,10,62.17,59.33,64.17,63,62.17,59.33,64.17,63
2019-04-05 11:11:59.208,Denise-02,FR0000073272,SAFRAN,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.000000,1820,0,0,12,58.22,59.33,60,55.33,0,0,0,0
2019-04-05 11:26:52.988,Denise-02,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,1.000000,1820,1820,140,13,62.39,67.33,62.5,57.33,62.39,67.33,62.5,57.33
2019-04-05 08:17:15.904,Denise-03,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1724,0,0,12,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 08:23:04.110,Denise-03,FR0000130395,REMY COINTREAU,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.009280,1724,16,1,16,56.33,56.33,56.33,56.33,0.5227424,0.5227424,0.5227424,0.5227424
2019-04-05 08:26:45.636,Denise-03,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.990719,1724,1708,122,14,62.39,67.33,62.5,57.33,61.81095841,66.70511027,61.9199375,56.79792027
2019-04-05 08:22:57.028,Anna-00,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.000000,1624,0,0,14,65.11,66,61.67,67.67,0,0,0,0
2019-04-05 08:28:22.236,Anna-00,FR0000131104,BNP PARIBAS ACT.A,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,1.000000,1624,1624,116,14,63.5,61,65.83,63.67,63.5,61,65.83,63.67
2019-04-05 07:58:40.222,Pauline-03,FR0000120404,ACCOR,FR,CONSUMER DISCRETIONARY,LEISURE,HOTELS & MOTELS,0.000000,1532,0,0,10,62.33,61.67,60.33,65,0,0,0,0
2019-04-05 08:15:57.696,Pauline-03,FR0000120628,AXA,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,0.027415,1532,42,3,14,65.5,60,66.83,69.67,1.7956825,1.6449,1.83214445,1.91000305
2019-04-05 08:15:56.756,Pauline-03,FR0000120693,PERNOD RICARD,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.258485,1532,396,36,11,64.22,64,63,65.67,16.5999067,16.54304,16.284555,16.97470995
2019-04-05 08:15:24.828,Pauline-03,FR0010040865,GECINA,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,OFFICE REIT,0.011749,1532,18,3,6,65.44,67.33,61.33,67.67,0.76885456,0.79106017,0.72056617,0.79505483
2019-04-05 08:15:56.004,Pauline-03,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.000000,1532,0,0,8,65.11,66,61.67,67.67,0,0,0,0
2019-04-05 08:15:57.226,Pauline-03,FR0000120172,CARREFOUR,FR,CONSUMER STAPLES,PERSONAL CARE DRUGS & GROCERY,DRUG & GROCERY CHAINS,0.023498,1532,36,4,9,63.83,62.67,64.17,64.67,1.49987734,1.47261966,1.50786666,1.51961566
2019-04-05 07:50:00.844,Pauline-03,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,0.652741,1532,1000,100,10,62.78,61.33,61,66,40.97907998,40.03260553,39.817201,43.080906
2019-04-05 07:58:41.538,Pauline-03,FR0000120321,L'OREAL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,COSMETICS,0.026109,1532,40,4,10,69.61,70.67,69.5,68.67,1.81744749,1.84512303,1.8145755,1.79290503
2019-04-05 12:40:33.224,Adele-00,FR0000121709,S.E.B.,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,HOUSEHOLD EQUIPMENT,1.000000,1507,1507,137,11,61.61,59,62.83,63,61.61,59,62.83,63
2019-04-05 12:33:54.510,Adele-00,FR0012435121,ELIS,FR,CONSUMER DISCRETIONARY,CONSUMER SERVICES,CONSUMER RENTAL & LEASE SERVICES,0.000000,1507,0,0,7,57.5,59,49.17,64.33,0,0,0,0
2019-04-05 07:45:14.176,Nicolas-00,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.000000,1254,0,0,8,62.39,67.33,62.5,57.33,0,0,0,0
2019-04-05 08:54:32.436,Nicolas-00,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,1.000000,1254,1254,114,11,65.11,66,61.67,67.67,65.11,66,61.67,67.67
2019-04-05 08:46:38.302,Nicolas-00,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,0.000000,1254,0,0,16,65.17,64.33,64.83,66.33,0,0,0,0
2019-04-05 07:37:51.344,Beatrice-01,FR0011981968,WORLDLINE,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,1.000000,1209,1209,93,13,65.28,71,61.83,63,65.28,71,61.83,63
2019-04-05 07:35:51.964,Beatrice-01,FR0000121964,KLEPIERRE,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,RETAIL REIT,0.000000,1209,0,0,14,61.94,63.33,59.17,63.33,0,0,0,0
2019-04-05 07:31:12.974,Nicolas-03,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,1.000000,1156,1156,68,17,65.17,64.33,64.83,66.33,65.17,64.33,64.83,66.33
2019-04-05 07:25:04.558,Nicolas-03,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.000000,1156,0,0,14,62.39,67.33,62.5,57.33,0,0,0,0
2019-04-05 09:01:07.704,Pauline-02,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1120,0,0,9,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 09:09:40.472,Pauline-02,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,1.000000,1120,1120,112,10,62.78,61.33,61,66,62.78,61.33,61,66
2019-04-05 07:24:53.686,Pauline-04,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,1.000000,1024,1024,64,16,65.17,64.33,64.83,66.33,65.17,64.33,64.83,66.33
2019-04-05 07:19:51.884,Pauline-04,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1024,0,0,9,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 07:06:25.274,Franck-03,FR0000071946,ALTEN,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.000000,1001,0,0,13,61.11,64.33,63,56,0,0,0,0
2019-04-05 07:11:17.456,Franck-03,FR0000125338,CAPGEMINI,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,1.000000,1001,1001,77,13,60.83,58.33,61.83,62.33,60.83,58.33,61.83,62.33
